Patente|Pedimento|SeccionAduanera|FechaFacturacion|NumeroFactura|TerminoFacturacion|MonedaFacturacion|ValorDolares|ValorMonedaExtranjera|PaisFacturacion|EntidadFedFacturacion|IndentFiscalProveedor|ProveedorMercancia|CalleProveedor|NumInteriorProveedor|NumExteriorProveedor|CpProveedor|MunicipioProveedor|FechaPagoReal
3992|5007790|510|2025-08-29|COVE257SVBJ82|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-27 17:18:03|
3992|5007160|510|2025-08-04|COVE257RI0EV4|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-02 16:12:01|
3992|5007832|510|2025-08-28|COVE257SVG2F3|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-27 19:03:05|
3992|5006625|510|2025-08-04|COVE257S01OZ2|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-10 17:49:03|
3992|5007163|510|2025-08-04|COVE257RI0EV4|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-02 16:12:02|
3992|5007793|510|2025-08-29|COVE257SVBJ82|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-27 17:18:02|
3992|5006414|510|2025-08-25|COVE257S01JA6|FOB| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-10 17:38:03|
3992|5007258|510|2025-08-22|COVE257S5I1O5|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-14 14:47:03|
3992|5007773|510|2025-09-11|COVE257SSHA92|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-24 17:19:01|
3992|5007253|510|2025-08-22|COVE257S5I1O5|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-14 14:47:01|
3992|5007097|510|2025-08-18|COVE257RHNCA4|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-03 12:03:01|
3992|5007250|510|2025-08-18|COVE257SATDN6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 15:07:04|
3992|5007416|510|2025-09-09|COVE257SCUU07|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-17 13:31:02|
3992|5007138|510|2025-08-21|COVE257RI0BP4|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-02 15:12:03|
3992|5007713|510|2025-09-16|COVE257SJGU23|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-21 16:18:04|
3992|5007739|510|2025-09-16|COVE257STP5G6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-27 13:11:02|
3992|5007684|510|2025-08-25|COVE257SJAHS8|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-21 16:19:02|
3992|5007289|510|2025-08-25|COVE257RZA9I1|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-10 17:49:01|
3992|5007288|510|2025-08-25|COVE257RZA9I1|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-10 17:49:00|
3992|5007337|510|2025-09-11|COVE257S32ST8|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-13 18:20:01|
3992|5007116|510|2025-08-25|COVE257RZJWB1|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-10 16:21:02|
3992|5007011|510|2025-08-07|COVE257RWDEQ5|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-09 15:58:03|
3992|5007338|510|2025-09-11|COVE257S33CE3|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-13 18:32:00|
3992|5006752|510|2025-08-14|COVE257SAHSZ3|FOB| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 15:07:03|
3992|5007327|510|2025-09-08|COVE257S7T6V6|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-15 13:55:04|
3992|5007002|510|2025-09-01|COVE257SMLDR8|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-22 15:24:01|
3992|5007174|510|2025-09-07|COVE257RW6H95|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-09 13:34:02|
3992|5007218|510|2025-08-20|COVE257SAWTI5|CFR| ||| | |BC 1815377|ASIA VNA GROUP LTD||||||2025-10-16 19:47:03|
