Patente|Pedimento|SeccionAduanera|ClaveContribucion|FormaPago|ImportePago|TipoPedimento|FechaPagoReal
3992|5007467|510|15|0|290|1|2025-10-21 16:17:04|
3992|5007264|510|15|0|290|1|2025-10-16 19:47:06|
3992|5007237|510|1|0|10731|1|2025-10-15 15:12:02|
3992|5007779|510|23|0|46|1|2025-10-27 18:16:01|
3992|5007902|510|15|0|290|1|2025-10-29 20:28:04|
3992|5007346|510|1|0|4973|1|2025-10-17 12:02:01|
3992|5007275|510|1|0|15321|1|2025-10-28 13:51:03|
3992|5007142|510|15|0|290|1|2025-10-02 15:12:04|
3992|5007421|510|15|0|290|1|2025-10-16 18:31:04|
3992|5006673|510|23|0|46|1|2025-10-10 16:27:02|
3381|5009420|370|15|0|290|1|2025-10-24 17:25:01|
3992|5007239|510|1|0|10548|1|2025-10-15 15:12:02|
3992|5007402|510|1|0|18203|1|2025-10-28 12:19:02|
3992|5007216|510|15|0|290|1|2025-10-16 19:47:02|
3992|5007279|510|1|0|6330|1|2025-10-10 17:58:01|
3992|5007125|510|15|0|290|1|2025-10-03 12:58:01|
3992|5007466|510|15|0|290|1|2025-10-21 16:17:04|
3992|5007878|510|1|0|6837|1|2025-10-29 16:02:03|
3992|5007734|510|15|0|290|1|2025-10-27 13:10:02|
3992|5007308|510|23|0|46|1|2025-10-16 21:23:01|
3992|5007261|510|1|0|11316|1|2025-10-16 19:47:05|
3992|5007387|510|23|0|46|1|2025-10-16 19:48:01|
3992|5007420|510|1|0|14041|1|2025-10-16 18:31:04|
3992|5007901|510|1|0|6244|1|2025-10-29 20:28:03|
3992|5007684|510|15|0|290|1|2025-10-21 16:19:02|
3992|5007371|510|23|0|46|1|2025-10-16 19:47:10|
3992|5007742|510|23|0|46|1|2025-10-27 13:11:06|
3992|5007284|510|23|0|46|1|2025-10-10 18:39:01|
3992|5007408|510|1|0|6230|1|2025-10-16 19:48:06|
3992|5007842|510|23|0|46|1|2025-10-31 19:49:00|
3992|5007295|510|23|0|46|1|2025-10-13 10:37:01|
3992|5007202|510|1|0|10910|1|2025-10-13 11:11:01|
3992|5006869|510|15|0|290|1|2025-10-02 17:09:04|
3992|5007116|510|23|0|46|1|2025-10-10 16:21:02|
3992|5007952|510|1|0|15243|1|2025-10-31 18:16:02|
3992|5007110|510|15|0|290|1|2025-10-10 16:21:03|
3992|5006625|510|15|0|290|1|2025-10-10 17:49:03|
3992|5007477|510|15|0|290|1|2025-10-28 12:19:04|
3992|5007223|510|15|0|290|1|2025-10-10 16:47:01|
3992|5007948|510|15|0|290|1|2025-10-31 17:23:01|
3992|5007268|510|23|0|46|1|2025-10-15 15:33:04|
3992|5007115|510|15|0|290|1|2025-10-10 16:21:01|
3992|5007299|510|23|0|46|1|2025-10-10 19:21:01|
3992|5007143|510|15|0|290|1|2025-10-02 15:12:05|
3992|5007364|510|23|0|46|1|2025-10-16 19:47:08|
3992|5007005|510|23|0|46|1|2025-10-22 15:24:02|
3992|5007173|510|1|0|6240|1|2025-10-09 13:34:01|
3992|5007829|510|23|0|46|1|2025-10-27 19:03:03|
3992|5007418|510|1|0|14041|1|2025-10-16 18:31:03|
3992|5007110|510|23|0|46|1|2025-10-10 16:21:03|
3992|5007422|510|23|0|46|1|2025-10-16 18:31:05|
3992|5007251|510|15|0|290|1|2025-10-16 15:07:05|
3992|5007253|510|1|0|12777|1|2025-10-14 14:47:01|
3992|5007902|510|1|0|6244|1|2025-10-29 20:28:04|
3992|5007773|510|15|0|290|1|2025-10-24 17:19:01|
3992|5007219|510|1|0|14137|1|2025-10-16 19:47:04|
3992|5007220|510|23|0|46|1|2025-10-16 19:47:04|
3381|5009443|370|23|0|46|1|2025-10-31 12:18:01|
3992|5007339|510|15|0|290|1|2025-10-14 12:50:01|
3992|5007303|510|23|0|46|1|2025-10-17 12:02:02|
3992|5007303|510|15|0|290|1|2025-10-17 12:02:02|
3992|5007133|510|15|0|290|1|2025-10-03 14:21:05|
3992|5007256|510|1|0|12777|1|2025-10-14 14:47:02|
3992|5007259|510|1|0|12777|1|2025-10-14 14:48:02|
3992|5007444|510|15|0|290|1|2025-10-17 13:31:05|
3992|5007400|510|15|0|290|1|2025-10-28 12:19:00|
3992|5007261|510|23|0|46|1|2025-10-16 19:47:05|
3992|5007471|510|15|0|290|1|2025-10-21 16:17:06|
3992|5007448|510|1|0|6230|1|2025-10-17 13:31:06|
3992|5007297|510|23|0|46|1|2025-10-28 15:14:01|
3992|5006991|510|23|0|46|1|2025-10-02 16:34:04|
3992|5007389|510|1|0|5131|1|2025-10-16 20:20:01|
3992|5006411|510|23|0|46|1|2025-10-10 17:37:03|
3992|5007878|510|23|0|46|1|2025-10-29 16:02:03|
3992|5007440|510|15|0|290|1|2025-10-17 13:31:03|
3992|5007174|510|23|0|46|1|2025-10-09 13:34:02|
