Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|ClaveCaso|IdentificadorCaso|ComplementoCaso|FechaPagoReal
3992|5007337|510|85122001|22|EN|X|NOM-024-SCFI-2013|2025-10-13 18:20:01|
3992|5007267|510|90318099|34|XP|D1|U|2025-10-15 15:33:03|
3992|5007332|510|84831008|15|ES|N||2025-10-15 13:55:03|
3992|5007339|510|85364199|27|UM|O||2025-10-14 12:50:01|
3992|5007789|510|39233002|1|EN|X|NOM-050-SCFI-2004|2025-10-27 17:18:03|
3992|5007377|510|85122001|11|ES|N||2025-10-16 21:42:02|
3992|5007275|510|85176217|26|EN|X|NOM-024-SCFI-2013|2025-10-28 13:51:03|
3992|5007797|510|84213199|15|EN|X|NOM-050-SCFI-2004|2025-10-28 12:21:01|
3992|5007861|510|85044099|23|EN|U|NOM-001-SCFI-2018|2025-10-29 15:08:01|
3992|5007711|510|85071099|15|UM|O||2025-10-21 16:18:03|
3992|5007473|510|85364199|19|ES|N||2025-10-21 16:18:08|
3992|5007948|510|84213199|16|PS|XVb||2025-10-31 17:23:01|
3992|5007860|510|84073299|18|EN|X|NOM-050-SCFI-2004|2025-10-29 15:08:00|
3992|5007788|510|85118001|26|ES|N||2025-10-27 17:18:02|
3992|5007330|510|84831008|15|ES|N||2025-10-15 13:55:02|
3992|5007900|510|84073299|10|ES|N||2025-10-29 20:28:02|
3992|5007337|510|40169304|3|UM|O||2025-10-13 18:20:01|
3992|5007236|510|84821099|17|UM|O||2025-10-15 15:12:01|
3992|5007269|510|40169304|3|UM|O||2025-10-15 15:33:04|
3992|5007277|510|84818099|16|EN|U|NOM-093-SCFI-2020|2025-10-15 15:27:00|
3992|5007743|510|84821099|13|EN|X|NOM-050-SCFI-2004|2025-10-27 13:11:07|
3992|5007260|510|85176217|31|ES|N||2025-10-16 20:19:01|
3992|5007477|510|82060001|10|UM|O||2025-10-28 12:19:04|
3992|5007805|510|40114001|3|UM|O||2025-10-30 17:57:00|
3992|5007955|510|84099199|17|EN|E|NOM-050-SCFI-2004|2025-10-31 16:51:01|
3992|5007683|510|84834009|19|ES|N||2025-10-21 16:19:02|
3992|5007005|510|70091099|6|UM|O||2025-10-22 15:24:02|
3992|5007902|510|85123099|18|ES|N||2025-10-29 20:28:04|
3992|5007275|510|85176217|26|EN|U|NOM-218-SCFI-2017|2025-10-28 13:51:03|
3992|5007789|510|85122001|28|EN|X|NOM-024-SCFI-2013|2025-10-27 17:18:03|
3992|5007405|510|85364199|22|EN|U|NOM-024-SCFI-2013|2025-10-16 19:48:08|
3992|5007742|510|73181599|6|EC|1||2025-10-27 13:11:06|
3992|5007278|510|85122001|24|EN|X|NOM-024-SCFI-2013|2025-10-15 15:27:01|
3992|5007328|510|85365099|20|EN|U|NOM-003-SCFI-2014|2025-10-15 13:54:00|
3992|5007281|510|85071099|10|ES|N||2025-10-13 11:49:01|
3992|5007258|510|49089099|9|EN|X|NOM-050-SCFI-2004|2025-10-14 14:47:03|
3992|5007864|510|39269099|3|XP|S3|U|2025-10-29 15:08:03|
3992|5007394|510|85071099|13|PS|XVb||2025-10-16 19:48:03|
3992|5007898|510|49089099|4|ES|N||2025-10-29 20:28:03|
3992|5007950|510|85123099|32|EN|X|NOM-024-SCFI-2013|2025-10-31 18:16:02|
3992|5007951|510|39269099|2|XP|S1|U|2025-10-31 18:16:02|
3992|5007474|510|85365099|20|ES|N||2025-10-21 16:18:08|
3992|5007002|510|84833004|17|UM|O||2025-10-22 15:24:01|
3992|5007952|510|85365099|34|UM|O||2025-10-31 18:16:02|
3992|5007690|510|90292006|21|EN|X|NOM-050-SCFI-2004|2025-10-27 17:43:02|
3992|5007836|510|84831008|32|ES|N||2025-10-27 19:03:04|
3992|5007266|510|73181599|11|EN|X|NOM-050-SCFI-2004|2025-10-16 19:47:07|
3992|5007107|510|84099199|14|EN|E|NOM-050-SCFI-2004|2025-10-27 17:43:01|
3992|5007237|510|85176217|29|EN|U|NOM-001-SCFI-2018|2025-10-15 15:12:02|
3992|5007255|510|70091099|11|EN|X|NOM-050-SCFI-2004|2025-10-14 14:47:02|
3992|5007257|510|85365099|33|EN|U|NOM-003-SCFI-2014|2025-10-14 14:47:03|
3992|5007256|510|85113005|25|UM|O||2025-10-14 14:47:02|
3992|5006731|510|73269099|14|ES|N||2025-10-28 00:21:05|
3992|5007407|510|90292006|24|EN|X|NOM-050-SCFI-2004|2025-10-16 19:48:05|
3992|5007735|510|39269099|2|XP|S3|U|2025-10-27 13:10:04|
3992|5007836|510|83012002|8|ES|N||2025-10-27 19:03:04|
3992|5007449|510|83012002|11|EN|U|NOM-050-SCFI-2004|2025-10-28 12:19:03|
3992|5007466|510|73181599|7|ES|N||2025-10-21 16:17:04|
3992|5007002|510|85071099|20|UM|O||2025-10-22 15:24:01|
3992|5007870|510|85176217|18|ES|N||2025-10-29 16:54:01|
3381|5009443|370|42021203|2|MA| ||2025-10-31 12:18:01|
3992|5007780|510|84831008|11|ES|N||2025-10-28 14:10:01|
3992|5007417|510|39269099|1|EN|X|NOM-050-SCFI-2004|2025-10-16 18:31:02|
3992|5007297|510|85365099|23|EN|X|NOM-024-SCFI-2013|2025-10-28 15:14:01|
3992|5007203|510|73181599|7|ES|N||2025-10-13 11:11:01|
3992|5007272|510|85122001|24|EN|X|NOM-024-SCFI-2013|2025-10-15 15:34:00|
3992|5007257|510|85122099|29|ES|N||2025-10-14 14:47:03|
3992|5007258|510|48211001|7|EX|33||2025-10-14 14:47:03|
3992|5007876|510|83012002|9|ES|N||2025-10-29 16:02:02|
3992|5007407|510|39269099|2|UM|O||2025-10-16 19:48:05|
3992|5007877|510|39269099|2|UM|O||2025-10-29 16:02:03|
3992|5007897|510|84099199|11|EN|E|NOM-050-SCFI-2004|2025-10-29 20:28:02|
3992|5007870|510|85118001|15|ES|N||2025-10-29 16:54:01|
3992|5007721|510|39269099|1|ES|N||2025-10-21 14:05:01|
3992|5007720|510|85122001|19|EN|X|NOM-024-SCFI-2013|2025-10-21 16:18:07|
3992|5007276|510|85123099|25|EN|X|NOM-024-SCFI-2013|2025-10-28 13:51:03|
3992|5007689|510|39269099|2|EN|X|NOM-050-SCFI-2004|2025-10-27 17:43:01|
3992|5007793|510|84831008|22|ES|N||2025-10-27 17:18:02|
3992|5007220|510|85176217|30|EN|U|NOM-221-SCFI-2017|2025-10-16 19:47:04|
3992|5007740|510|85113005|16|UM|O||2025-10-27 13:11:03|
3992|5007340|510|85364199|33|EN|X|NOM-024-SCFI-2013|2025-10-14 12:50:01|
3992|5007255|510|73181606|14|EN|X|NOM-050-SCFI-2004|2025-10-14 14:47:02|
3992|5007295|510|84213199|21|UM|O||2025-10-13 10:37:01|
3992|5007258|510|83100099|17|EN|X|NOM-050-SCFI-2004|2025-10-14 14:47:03|
3992|5007743|510|39269099|2|XP|S3|U|2025-10-27 13:11:07|
3992|5007426|510|84831008|14|UM|O||2025-10-16 18:31:06|
3992|5007826|510|84831008|32|UM|O||2025-10-27 19:03:04|
3992|5007951|510|85122001|24|ES|N||2025-10-31 18:16:02|
3992|5007791|510|84818099|20|EN|U|NOM-093-SCFI-2020|2025-10-28 16:49:03|
3992|5007753|510|39269099|2|ES|N||2025-10-22 17:10:02|
3992|5007684|510|85071099|20|EN|X|NOM-024-SCFI-2013|2025-10-21 16:19:02|
3992|5007875|510|40114001|3|ES|N||2025-10-29 16:02:02|
3992|5007955|510|85176217|33|UM|O||2025-10-31 16:51:01|
3992|5007481|510|83012002|11|EN|U|NOM-050-SCFI-2004|2025-10-28 12:19:06|
3992|5007394|510|90292006|31|UM|O||2025-10-16 19:48:03|
3992|5007276|510|84073299|14|EN|X|NOM-050-SCFI-2004|2025-10-28 13:51:03|
3992|5007259|510|85113005|25|EN|E|NOM-024-SCFI-2013|2025-10-14 14:48:02|
3992|5007277|510|85122001|25|UM|O||2025-10-15 15:27:00|
3992|5007337|510|85122001|23|ES|N||2025-10-13 18:20:01|
3992|5007222|510|90318099|18|UM|O||2025-10-13 11:11:02|
3992|5007875|510|39269099|2|UM|O||2025-10-29 16:02:02|
3992|5007332|510|39269099|2|EN|X|NOM-050-SCFI-2004|2025-10-15 13:55:03|
3992|5007793|510|40169304|4|ES|N||2025-10-27 17:18:02|
3992|5007480|510|83012002|11|ES|N||2025-10-28 12:19:06|
3992|5007873|510|84818099|13|ES|N||2025-10-29 16:02:01|
3992|5007722|510|39269099|31|XP|S1|U|2025-10-21 17:04:02|
3992|5007707|510|73181599|11|EN|X|NOM-050-SCFI-2004|2025-10-21 16:17:02|
3992|5007952|510|84213199|19|EN|X|NOM-050-SCFI-2004|2025-10-31 18:16:02|
3992|5007860|510|84099199|19|EN|E|NOM-050-SCFI-2004|2025-10-29 15:08:00|
3992|5007297|510|85122099|19|UM|O||2025-10-28 15:14:01|
3992|5007417|510|85113005|19|EN|E|NOM-024-SCFI-2013|2025-10-16 18:31:02|
3992|5007877|510|83012002|8|ES|N||2025-10-29 16:02:03|
3992|5006686|510|73181599|14|EN|X|NOM-050-SCFI-2004|2025-10-13 14:44:01|
3992|5007328|510|49089099|6|UM|O||2025-10-15 13:54:00|
3992|5007258|510|39269099|3|ES|N||2025-10-14 14:47:03|
3992|5006686|510|83012002|20|ES|N||2025-10-13 14:44:01|
3992|5007881|510|85365099|13|UM|O||2025-10-29 16:54:02|
3992|5007246|510|40169901|8|UM|O||2025-10-15 16:16:01|
3992|5007948|510|84099199|17|UM|O||2025-10-31 17:23:01|
3992|5007797|510|85044017|19|EN|X|NOM-001-SCFI-2018|2025-10-28 12:21:01|
3992|5007950|510|73181599|12|EN|X|NOM-050-SCFI-2004|2025-10-31 18:16:02|
3992|5007711|510|84099199|11|ES|N||2025-10-21 16:18:03|
3992|5007711|510|82060001|7|EN|X|NOM-050-SCFI-2004|2025-10-21 16:18:03|
3992|5007865|510|82060001|15|ES|N||2025-10-29 15:08:03|
3992|5006733|510|85176217|30|ES|N||2025-10-28 14:09:01|
3992|5007449|510|85364199|26|UM|O||2025-10-28 12:19:03|
3992|5007377|510|73181599|6|UM|O||2025-10-16 21:42:02|
3992|5007952|510|85123099|31|UM|O||2025-10-31 18:16:02|
3992|5007339|510|83012002|14|ES|N||2025-10-14 12:50:01|
3992|5006678|510|73269099|18|ES|N||2025-10-13 14:44:01|
